Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-2.16067	1388.94739124724	6.48873001963342	0.233092723647508	27.8375485862267	1.5241650156040799e-170	5.34799020675161e-167
Cluster-2.23546	7297.72640775437	9.99168317735302	0.445896357231702	22.4080843346316	3.2825766133194604e-111	3.38761906494568e-108
Cluster-2.29336	2965.76050932956	6.01804631773513	0.284474325257592	21.1549717616371	2.48338031015248e-99	1.89427931136153e-96
Cluster-2.23928	21470.4411813875	11.8265113233852	0.575524785848367	20.549091219333	7.841744958462409e-94	5.29136821351017e-91
Cluster-2.24546	38227.3732834296	13.8722299901104	0.676268920315565	20.5128900255201	1.65181987843821e-93	1.07331584990074e-90
Cluster-2.30541	613.40957301206	5.23217981787441	0.256445325122884	20.4027108521757	1.5819786014358198e-92	9.91222592271074e-90
Cluster-2.36646	14325.8566933758	11.1966294400492	0.549001662390183	20.3945273886832	1.87012817199983e-92	1.13136305688155e-89
Cluster-2.49923	16340.1179573346	11.1091193626717	0.588274779059515	18.8842353235542	1.5374833538665998e-79	6.22852740582299e-77
Cluster-2.59822	1000.67540369563	5.12529736493817	0.273902455858063	18.712126362219	3.94323621345636e-78	1.4412528360183001e-75
Cluster-2.24081	16597.6203051691	11.8000729509921	0.633619276224621	18.6232859285816	2.0804743063464598e-77	7.44894718990659e-75
Cluster-2.37778	1662.86180143466	5.01509282807838	0.271965005035613	18.4402137599346	6.24936991285773e-76	2.10844126444569e-73
Cluster-2.53872	661.027439917932	7.3399698997625	0.402790849795797	18.2227821299407	3.40399452135702e-74	1.10591999782755e-71
Cluster-2.5893	1493.85025495238	5.01924167068319	0.28297897200839	17.7371542311433	2.1663198304307297e-70	5.84706386231951e-68
Cluster-2.33213	596.402671716162	6.02679701364623	0.342798605990276	17.5811596323037	3.43478980754762e-69	8.99402274382319e-67
Cluster-2.40141	1869.41991752717	7.25326855911719	0.416664253254769	17.4079453719832	7.18154154876977e-68	1.7998994990230999e-65
Cluster-2.9043	699.393052981181	5.42282387494413	0.330395643981194	16.413121582356	1.5407585015818e-60	3.0371985563765303e-58
Cluster-2.55538	1048.47945085881	6.25364213177191	0.39862757089902	15.6879317646498	1.82918911578594e-55	3.05631369974749e-53
Cluster-2.365	517.909984397925	6.47988559652028	0.415514583545891	15.5948451705898	7.89145061161594e-55	1.25861463209264e-52
Cluster-2.36834	10298.6734343979	11.6822926708017	0.756001365356656	15.4527401750001	7.23031787519824e-54	1.08417689574767e-51
Cluster-2.49148	1376.85111141024	8.12235442532164	0.534389403535854	15.1993178973592	3.57322263654232e-52	4.97528713773798e-50
Cluster-2.22881	6229.13860575927	9.34336631624043	0.630157660544845	14.8270296486787	9.79732324566211e-50	1.2546294819116502e-47
Cluster-2.18063	9942.82173135763	5.35830110835339	0.365584657582195	14.656799724011	1.21883759142473e-48	1.49533473454234e-46
Cluster-2.45744	12099.3384384176	6.66191499186669	0.459507140611647	14.4979574920186	1.24808732552844e-47	1.4895540162633302e-45
Cluster-2.45122	439.01737676572	5.36460764479758	0.374964321219928	14.3069816011937	1.97918837768305e-46	2.2258256985943202e-44
Cluster-2.22813	1696.41937556102	8.35822149489084	0.59676370867347	14.00591452431	1.43421528389502e-44	1.48011017297966e-42
Cluster-2.61377	380.745435613467	5.40556291147207	0.387149623587147	13.9624645928534	2.6413919216344804e-44	2.63298749279291e-42
Cluster-2.31083	3958.01160864623	9.18187743336182	0.663394243572877	13.8407553612623	1.44678224231723e-43	1.41013042551186e-41
Cluster-2.23176	144360.246657732	8.12007471529728	0.595881942821485	13.6269857026527	2.76778199686008e-42	2.55568249225859e-40
Cluster-2.34848	1072.20944563605	5.58114995743347	0.417262272430338	13.3756400379218	8.392812325131869e-41	7.18260972839579e-39
Cluster-2.43520	644.211965408801	7.81891337227488	0.593033341339222	13.1846100838407	1.07608919681958e-39	8.98995660428703e-38
Cluster-2.38800	507.633642879419	5.37436486559184	0.413144473140687	13.0084394563878	1.09556551000304e-38	8.6191037253333e-37
Cluster-2.25947	723.713631357147	7.6929509786885	0.592287502275582	12.9885417962257	1.42108887050586e-38	1.1080703619624399e-36
Cluster-2.29820	674.252680327802	6.61787315606384	0.514314780682407	12.8673594550074	6.871122538578301e-38	5.1959902507249e-36
Cluster-2.33056	1612.04160042553	7.71210722732375	0.610582268142779	12.63074221068	1.4292374123466001e-36	1.03613806455408e-34
Cluster-3057.0	263.397435969403	8.8841174898102	0.712705001946015	12.4653502719252	1.1536376843132e-35	8.0957678134363e-34
Cluster-2.48235	644.432984096487	5.86280134525186	0.470936864504179	12.4492300075605	1.41200805326742e-35	9.830265589890329e-34
Cluster-2.9370	670.637683318371	5.4767295904082	0.441575286943614	12.402708558071	2.52637089179179e-35	1.71793220641842e-33
Cluster-2.48656	310.190596446489	6.48064042154198	0.545756897431187	11.8745918778958	1.60415021715676e-32	9.57252088768646e-31
Cluster-2.14090	225.020325546961	6.05694963574278	0.512384374945326	11.8211052715827	3.03662800147784e-32	1.7817592527734898e-30
Cluster-2.32890	467.187415449458	7.19966814121872	0.636115782876667	11.3181724695779	1.0667249380509e-29	5.40885037952745e-28
Cluster-2.45704	274.725194460647	5.07050370820297	0.454961933709597	11.1448966001615	7.58323227898287e-29	3.5859899488537896e-27
Cluster-2.22621	429.562826264456	5.50175059588003	0.498347930964584	11.0399788060343	2.4509096696951297e-28	1.12857635813993e-26
Cluster-2.36678	430.797030379828	6.28508010971621	0.570935650993313	11.0083861443605	3.4818471688858297e-28	1.5949223689538598e-26
