"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster-2.34472",51146.8400180248,6.86724762121087,0.124006318986653,55.3782071537018,0,0
"Cluster-2.26687",51236.4430501507,6.5981595012053,0.131429678912849,50.202964473348,0,0
"Cluster-2.22915",38081.9544725048,6.25733333334959,0.125439984503336,49.8830843939012,0,0
"Cluster-2.39676",24926.1551420015,10.3851010143161,0.260740523858473,39.8292557698204,0,0
"Cluster-2.50387",11751.6731021292,-8.98754393564236,0.262071181397463,-34.2942855743137,9.54792549426609e-258,3.48308322030827e-254
"Cluster-2.26043",25735.8592387559,-5.91047476268353,0.177095963318752,-33.3744183205654,3.22323899342244e-244,9.79864654000422e-241
"Cluster-2.6613",6857.15180395215,8.47704610818173,0.263503153242993,32.1705679945489,4.55527682344289e-227,1.18697498942283e-223
"Cluster-2.16040",4811.62242831112,8.64276282632024,0.274361247100976,31.501397947573,8.31187716273221e-218,1.89510799310294e-214
"Cluster-2.38533",9792.6521445842,-5.58075902452061,0.177759823567106,-31.3949401643832,2.37214836224188e-216,4.80755401414354e-213
"Cluster-2.60539",78718.8764482555,15.1132168933266,0.495004692211369,30.5314618853618,9.96663176380204e-205,1.81791363371749e-201
"Cluster-2.53656",4854.55731116358,5.38274982198861,0.176412114374306,30.5123593188597,1.78662604721267e-204,2.9625508273781e-201
"Cluster-11570.0",22952.9119234235,12.3145794589697,0.410554215651283,29.9950140310567,1.13985268205787e-197,1.73257607672796e-194
"Cluster-2.58739",3827.36035310035,9.24505972472547,0.31266585203973,29.5684983326888,3.79866467245871e-192,5.32981874043437e-189
"Cluster-5219.0",26291.5304391263,13.342549008401,0.455729792682885,29.2773244642472,2.01650471335785e-188,2.62721756940337e-185
"Cluster-2.31170",18644.7534486698,10.1079130549083,0.347623280465779,29.0772040392829,6.97271583080658e-186,8.4788224502608e-183
"Cluster-2.48315",16252.9901290206,7.47469161806851,0.257168425089134,29.0653551868889,9.84410418541987e-186,1.12222787713786e-182
"Cluster-2.25496",3935.60981387688,9.11146983868879,0.315939160631989,28.8393177359295,6.89791035273437e-183,7.40105204905146e-180
"Cluster-2.20504",1824.96988159234,7.39666792684231,0.258117941683754,28.6561557038321,1.34354704440432e-180,1.36146100499638e-177
"Cluster-2.50075",13694.7570154698,7.73634423116318,0.285816949257171,27.0674788576034,2.37859390319559e-161,2.28345014706776e-158
"Cluster-2.21447",12611.895014933,7.85222052944249,0.290916895223412,26.9912839658636,1.87055750257223e-160,1.70594844234587e-157
"Cluster-2.7482",3787.77431059187,7.67515244227053,0.284402443140869,26.9869427192962,2.10341733591746e-160,1.82696820033973e-157
"Cluster-2.42473",1810.58070574533,8.05315450925999,0.300921560433919,26.7616401352153,9.03947418527963e-158,7.4945458699773e-155
"Cluster-2.9043",2069.40363577225,-8.61172056798379,0.322471473596234,-26.7053717091469,4.07702337692975e-157,3.23325679979125e-154
"Cluster-2.24787",2134.61775383941,7.88140556731127,0.299876262233193,26.2821922236127,3.06483778565029e-152,2.32927671709422e-149
"Cluster-2.45826",2038.28157027183,8.8186219906614,0.336617845965427,26.1977256891102,2.82079193196349e-151,2.05804979356056e-148
"Cluster-2.55409",2296.34545177707,-4.05677029067187,0.155127187356898,-26.1512527867765,9.53712915346921e-151,6.6906629138184e-148
"Cluster-2.12442",1715.53028042215,8.71988268794679,0.33828716059365,25.7765700378475,1.62398889004761e-146,1.09709471683216e-143
"Cluster-2.23546",12149.6394234044,-11.4657070149557,0.446772311347512,-25.6634234569594,2.99461589318221e-145,1.95077835327298e-142
"Cluster-2.57788",1996.79390823627,7.13688488746283,0.27975660509111,25.5110505260047,1.48644161097585e-143,9.34920516696532e-141
"Cluster-2.55538",3711.97279063138,-9.93643480700751,0.392994302499991,-25.2839156796878,4.80080716470525e-141,2.91889075614079e-138
"Cluster-2.47321",3604.17258613332,10.5653595262615,0.420484341494705,25.126642025966,2.54456679086202e-139,1.49719026662333e-136
"Cluster-2.45568",3918.83251910001,5.255553859289,0.209599243441669,25.0742978504673,9.48681214001785e-139,5.40748291981018e-136
"Cluster-2.23928",48573.6791384161,-14.1880585090824,0.578621755092807,-24.5204373741647,8.94360024398393e-133,4.94337177122021e-130
"Cluster-2.59013",11481.5404196693,9.7753311144536,0.398927365791294,24.5040374582067,1.33778946929134e-132,7.17684703525705e-130
"Cluster-2.50495",39643.5517883628,14.3565789073869,0.587149924261461,24.4512999391852,4.87469483469429e-132,2.54041239385211e-129
"Cluster-2.51301",768.198568068988,4.8814201783656,0.199846795126355,24.4258116587723,9.09744638956578e-132,4.60937283738e-129
"Cluster-2.36646",31195.2588623893,-13.4460572158071,0.551227944492514,-24.3929164879081,2.03338527253667e-131,1.00240398300186e-128
"Cluster-2.62500",2531.94298660157,9.63249426308415,0.396453620850047,24.2966484766386,2.12693474943633e-130,1.02092867972944e-127
"Cluster-2.26820",1402.00896727039,8.10985977730802,0.334635274050606,24.234922036586,9.53584251627825e-130,4.45984019222859e-127
"Cluster-2.3120",4012.40852922591,10.6134652358618,0.438435659582627,24.2075775632973,1.85134971759878e-129,8.44215471225042e-127
"Cluster-2.59392",798.263029795867,6.77320353713361,0.283586005369571,23.884124776562,4.47838643006204e-126,1.99233581669101e-123
"Cluster-2.34848",4642.48461280795,-9.86696879494414,0.413497351190628,-23.8622297495573,7.56007128414332e-126,3.2832309576851e-123
"Cluster-2.9912",803.23540437339,5.78108191155139,0.242486735794329,23.840817076505,1.26101256204049e-125,5.34903933293452e-123
"Cluster-2.18562",2709.90593371121,8.16099961087196,0.342713936004576,23.8128618462804,2.45755995814612e-125,1.01877030992239e-122
"Cluster-2.51551",5877.91163251176,-5.40172346210767,0.226930569376521,-23.8034191556854,3.07829879152865e-125,1.24773711016628e-122
"Cluster-2.40765",1738.86213521896,-8.66256583289472,0.364212710712051,-23.7843589147645,4.8486126498135e-125,1.92258032027387e-122
"Cluster-2.57427",3763.88033398847,3.16951452724869,0.133939125958928,23.6638435898157,8.50187967966949e-124,3.29945287993982e-121
"Cluster-2.37778",2571.06119620687,-6.32623098022903,0.267543660819338,-23.6456022200462,1.30991880112828e-123,4.97769144428746e-121
"Cluster-2.6641",3792.26384673794,11.0922674069996,0.470525406531703,23.5742156598131,7.08803515256819e-123,2.63848492209885e-120
"Cluster-2.45226",2393.38953911968,6.90457136168695,0.297455467524322,23.2121178311251,3.43530500078015e-119,1.2531992642846e-116
"Cluster-2.51620",971.926687003153,-6.30034894429783,0.27290726693782,-23.0860431640075,6.39463475284494e-118,2.28702231160572e-115
"Cluster-2.1320",1213.45319959684,7.20622487810244,0.313304530038465,23.0007043856586,4.58622467843222e-117,1.60870650258853e-114
"Cluster-2.36252",2191.61221739739,7.0279481981416,0.306145913543394,22.9562045000004,1.27754466233006e-116,4.39668200771704e-114
"Cluster-2.51831",3001.27836048612,-6.13298793867603,0.267505955994973,-22.9265472458912,2.52592186629859e-116,8.53200274838635e-114
"Cluster-2.17298",3563.54284219669,7.58398707974099,0.331480717516281,22.8791198974296,7.49990044512386e-116,2.48723971125562e-113
"Cluster-2.40141",4081.28080887494,-9.52179001974325,0.416636693088999,-22.8539400818192,1.33532759979693e-115,4.34935275362429e-113
"Cluster-2.57170",9075.23045611388,11.0713700058831,0.485480069442697,22.8049938663649,4.09075074006186e-115,1.30904023681979e-112
"Cluster-2.39663",4561.69093419436,10.9873650403934,0.482984183137104,22.7489127470545,1.47101588094176e-114,4.6260913221341e-112
"Cluster-2.55803",816.481193180139,6.50485964895703,0.286002693059974,22.7440503421868,1.64340249857113e-114,5.0806206057521e-112
"Cluster-11076.1",858.26723593958,6.15432152494959,0.271336456945514,22.6815135504825,6.82024983502492e-114,2.07335594984757e-111
"Cluster-2.25626",2661.60152994143,9.95552021134488,0.440165853660829,22.6176567958316,2.90504379115556e-113,8.6865571722422e-111
"Cluster-2.40731",53335.3132100873,4.27337167431105,0.189146494190942,22.5929203318837,5.08712789187363e-113,1.49660020560928e-110
"Cluster-2.20215",5313.32399847064,5.47460600146443,0.242655411061054,22.5612360240628,1.04171181820587e-112,3.01600374032938e-110
"Cluster-2.36262",1919.68186730491,9.74153994540467,0.432328278015079,22.5327382935263,1.98310204022346e-112,5.65184081463686e-110
"Cluster-2.40712",1807.05448008517,9.0278103607324,0.402151672837069,22.4487698808852,1.31562124352272e-111,3.691835612593e-109
"Cluster-5909.0",6128.69596438422,10.15083709207,0.452316840650975,22.4418729965059,1.5363628486742e-111,4.24594823633597e-109
"Cluster-2.24081",39113.1390050637,-14.2784225972775,0.637240889440826,-22.4066327724304,3.39131878087392e-111,9.23248575569259e-109
"Cluster-2.2384",1417.93978382553,8.05131053902712,0.359959945505735,22.3672401319964,8.20588909183654e-111,2.20110907404557e-108
"Cluster-2.38310",864.201304100176,3.85187446976386,0.172341057940998,22.3503007105978,1.19933380139069e-110,3.17041283150233e-108
"Cluster-2.26312",829.330599787665,-5.97712672950326,0.267979948144332,-22.3043804989618,3.35043756815732e-110,8.73028303474136e-108
"Cluster-2.3163",3301.34122361535,3.08573657467262,0.138619393453384,22.2604968742004,8.92527112588688e-110,2.29291472304474e-107
"Cluster-2.7760",762.550697585237,5.19774327792775,0.23397638515525,22.2148199891151,2.46969433118345e-109,6.25655897233141e-107
"Cluster-2.29336",3223.50241846069,-6.2674367465761,0.282912539536299,-22.1532660123464,9.7024069351332e-109,2.42427263694287e-106
"Cluster-2.13734",14195.6096644567,8.70144763984142,0.39288374574929,22.1476396872729,1.09929330968038e-108,2.70960945521218e-106
"Cluster-2.51717",1550.7494929464,8.9246004367647,0.404886701819886,22.0422167402643,1.13444881073827e-107,2.75897950771548e-105
"Cluster-2.18601",3792.07263390942,11.376583988375,0.516322298796299,22.0338808044844,1.36374061053865e-107,3.27297746529276e-105
"Cluster-2.17885",2071.7753496747,8.85582428914444,0.401994082984647,22.0297379090594,1.4943541845238e-107,3.53987276957327e-105
"Cluster-2.15633",1107.79899829805,6.4774842530659,0.294192356615059,22.0178536505674,1.94248488006082e-107,4.5424261810653e-105
"Cluster-2.2527",1098.69941469288,8.00780757662023,0.363845428432623,22.008817346191,2.37096260395867e-107,5.47422251850711e-105
"Cluster-2.31508",23548.9817201244,13.741713191372,0.626027387564462,21.9506581730132,8.53567640843018e-107,1.94613422112208e-104
"Cluster-2.29262",4131.41756917649,11.0015891662079,0.501996485766032,21.9156696872485,1.84165822192622e-106,4.14714147752276e-104
"Cluster-2.47785",49452.997437079,9.97996372939138,0.456666175054653,21.8539587001314,7.12783838400823e-106,1.58550941615012e-103
"Cluster-2.46219",968.295019097858,7.24335226065825,0.332512848474201,21.7836763117448,3.31384558086495e-105,7.28247510782852e-103
"Cluster-2.52823",2302.09781069944,9.04890636910527,0.417728685408855,21.6621617934823,4.6680651229474e-104,1.01363699812572e-101
"Cluster-2.2506",1571.49124147627,9.5772780538755,0.443158528128933,21.6114041499142,1.40316117141353e-103,3.01101879606856e-101
"Cluster-2.49923",29064.5854733594,-12.7781011423026,0.592607482386916,-21.5625038867797,4.04139954170681e-103,8.57152646985259e-101
"Cluster-2.60838",2372.0466832844,7.99911618959918,0.37153334748669,21.5300086619701,8.15183640429006e-103,1.70907466683047e-100
"Cluster-2.44222",1170.83419466885,7.20171782650754,0.335147036059726,21.4882336755147,2.00598512150251e-102,4.15786007002338e-100
"Cluster-2.16182",8499.88169532889,12.5165094334693,0.582920608369721,21.4720654129466,2.84107201102513e-102,5.82260151473015e-100
"Cluster-2.49148",4107.58324475487,-11.2853693507186,0.53014814685203,-21.287199470054,1.49180474343224e-100,2.99394156219384e-98
"Cluster-2.771",4312.43292116326,4.68797041555364,0.220225466721142,21.287140335544,1.49368795043662e-100,2.99394156219384e-98
"Cluster-2.24546",47735.4993723787,-14.5168212984588,0.682520873685792,-21.2694173294132,2.1797115221806e-100,4.3215150178885e-98
"Cluster-2.33407",4563.19028556096,9.88424626295997,0.466247335285223,21.1995769518197,9.63586828996943e-100,1.88987352267788e-97
"Cluster-2.55124",3540.44240824686,-8.08215940101052,0.381421369351481,-21.1895820487257,1.19150187718033e-99,2.31202066380523e-97
"Cluster-2.56515",1361.80872363583,8.77119947223435,0.41419112414772,21.1766958799101,1.56641526519823e-99,3.00751730918061e-97
"Cluster-2.61432",2788.48194405025,-3.39332107508384,0.160752032492512,-21.1090399447479,6.56935742615471e-99,1.2481779109694e-96
"Cluster-2.19515",1258.51677151392,9.14116770418539,0.433396923644138,21.0919072228837,9.43789455327883e-99,1.77471336754439e-96
"Cluster-2.4424",644.226360251919,7.18099674092537,0.340814634958067,21.0700950145786,1.49630853180474e-98,2.78496608368556e-96
"Cluster-2.46340",1199.5653172866,9.09144728352675,0.43448080691242,20.9248536158223,3.18039254597591e-97,5.85963232713136e-95
"Cluster-2.58736",1802.7209751485,10.0168799343439,0.478996239627399,20.9122308395068,4.14397473827448e-97,7.55860992261265e-95
"Cluster-2.58991",1395.47064511192,-4.4664837004704,0.213698849295667,-20.9008317788867,5.26200955834947e-97,9.50287666775192e-95
"Cluster-2.16067",834.560823891518,-4.95909059788115,0.238169648385795,-20.8216732547224,2.75399106147512e-96,4.92478401581434e-94
"Cluster-2.63147",1625.11038344737,5.40760936973208,0.262371295481986,20.6105220458591,2.20837240255142e-94,3.91074879830466e-92
"Cluster-2.8923",6428.99427514606,4.40399033561958,0.213936373311122,20.5855145969731,3.70087056259912e-94,6.49075760209691e-92
"Cluster-2.4023",2059.74851335513,6.6566321445572,0.323412413525882,20.5824880745479,3.93933673422765e-94,6.84319066974404e-92
"Cluster-2.59375",537.795987557735,3.97495753038581,0.194435905544033,20.4435364922125,6.85847299218811e-93,1.18017497525954e-90
"Cluster-2.27323",3831.38632876578,8.07003134201936,0.397327316507837,20.3107891321139,1.03232417079333e-91,1.759775035072e-89
"Cluster-2.63198",1390.31193851305,6.35998998212034,0.313773167091483,20.2693877270456,2.39619386101218e-91,4.04690518748724e-89
"Cluster-2.25070",1599.60322331172,6.95981744462225,0.344519275086939,20.2015328253142,9.4905241593649e-91,1.58813908868638e-88
