alfalfa_geneid	alfalfa_1_count	alfalfa_4_count	alfalfa_6_count	clover_2_count	clover_3_count	clover_5_count
Cluster-2.27488	5469.0	6619.0	13279.0	4803.0	6290.0	4326.0
Cluster-2.58223	38.0	53.0	110.0	567.0	550.0	1093.0
Cluster-2.16316	1768.0	1379.0	4575.0	2495.723	1876.676	4308.451
Cluster-2.52637	161.0	401.0	414.0	159.0	174.0	306.0
Cluster-6655.0	44.0	151.0	76.0	7.0	23.0	27.0
Cluster-11806.0	56.0	82.0	147.0	78.0	102.0	77.0
Cluster-2.6999	611.0	537.0	1971.0	880.0	727.0	1003.0
Cluster-2.21676	18097.0	15669.0	35349.0	7970.0	8446.0	7631.028
Cluster-2.57005	1668.0	3356.0	3593.0	2876.0	3778.0	3393.0
Cluster-5926.0	19.0	54.0	128.0	43.905	44.137	26.0
Cluster-2.45458	3980.0	4990.0	7704.0	4296.0	3863.0	4543.0
Cluster-2.38405	584.07	1132.306	1570.184	427.0	483.0	597.0
Cluster-7077.0	314.0	635.0	640.0	530.0	608.0	629.0
Cluster-2.56943	380.0	299.0	758.0	369.605	382.752	422.338
Cluster-2.23904	3371.982	3811.995	7593.99	2683.196	3821.934	2932.558
Cluster-10023.0	378.0	324.0	439.0	303.85	463.086	384.847
Cluster-12177.0	199.83	217.021	457.243	212.0	216.0	228.0
Cluster-2.43025	340.0	676.0	809.0	220.0	238.0	257.0
Cluster-2.34304	477.0	973.0	1095.0	501.0	590.0	757.0
Cluster-2.22174	10078.0	6075.0	21075.0	6635.528	5003.459	3882.505
Cluster-7371.0	527.0	942.0	1078.0	1067.0	1427.0	1301.0
Cluster-2.41868	3148.977	3906.0	7901.0	3675.0	4548.0	3329.0
Cluster-2.46934	569.0	818.0	994.0	442.0	690.0	655.0
Cluster-2.53070	819.0	925.0	1903.965	1055.0	2048.0	1062.0
Cluster-2.14437	28.0	26.0	22.0	141.0	181.0	145.0
Cluster-11621.0	406.0	785.0	970.0	429.0	668.0	550.0
Cluster-2.34888	6145.0	9720.0	14489.0	5154.0	5717.99	6359.987
Cluster-2.7791	385.583	711.584	555.873	2275.971	1180.0	2470.0
Cluster-2.61069	1367.0	2039.0	3231.0	1870.0	2830.0	1885.0
Cluster-2.50096	1304.0	1306.0	3266.0	1688.0	2497.0	1619.0
Cluster-2.37555	1732.0	1737.0	3824.0	608.0	516.0	706.0
Cluster-2.62026	578.0	876.0	1695.0	1393.921	1664.0	1683.0
Cluster-8598.0	363.0	303.0	675.0	125.0	282.0	133.0
Cluster-2.46957	775.0	1342.0	1675.0	2551.772	2708.282	2749.997
Cluster-3934.5	196.0	132.0	268.0	141.082	177.296	168.283
Cluster-2.32973	3290.0	4994.0	7682.0	5148.754	6042.804	4464.333
Cluster-2.30929	1666.0	2405.0	4784.0	2403.0	2426.0	2490.0
Cluster-2.47694	967.0	1018.0	2072.0	847.0	1103.0	838.0
Cluster-2.21250	1502.187	1559.475	3008.137	2897.584	4181.478	2189.94
Cluster-2.19457	404.364	311.495	1162.384	2897.584	4181.478	2189.94
Cluster-2.13237	74.22	129.241	304.336	61.0	73.0	53.0
Cluster-2.49433	4902.494	2279.633	10067.614	16623.526	11461.159	11052.121
Cluster-2.27645	12876.563	78.009	20214.518	19239.39	10213.798	6254.427
Cluster-2.6404	562.0	756.0	1232.0	975.0	1300.0	1157.0
Cluster-8932.0	867.0	1669.0	1757.0	1051.0	1149.0	1188.0
Cluster-2.39528	1191.0	1745.944	2727.0	1843.0	2370.0	2237.0
Cluster-2.53074	1662.0	3030.0	4447.0	2515.0	3959.0	3479.0
Cluster-2.61336	113.0	105.0	273.604	92.0	132.0	116.0
Cluster-2.44197	1100.0	980.0	2267.0	1294.0	1764.0	1247.0
Cluster-2.39158	477.977	549.615	1021.133	766.0	772.0	505.927
Cluster-2.19562	1019.0	838.0	1297.0	381.464	497.204	706.82
Cluster-2.47774	5886.0	3763.0	9404.0	7872.0	11245.0	8004.0
Cluster-2.18027	9.0	72.0	3.0	15.0	27.0	60.0
Cluster-2.55197	1631.0	1895.0	3363.0	2108.0	2729.0	2309.0
Cluster-2.40393	1642.0	1438.0	4214.0	1939.721	1990.569	1895.263
Cluster-2.12962	437.0	657.0	1239.977	378.0	639.0	413.0
Cluster-2.12975	1295.0	1287.0	2328.0	1477.0	1770.0	1628.0
Cluster-2.48949	1885.0	2853.0	4659.0	2742.0	3608.0	2723.998
Cluster-2.48721	520.0	663.0	1261.0	229.0	328.0	262.0
Cluster-2.10417	231.0	401.0	481.0	193.0	222.0	229.0
Cluster-2.48115	866.0	873.0	1860.0	1198.0	1093.0	1198.0
Cluster-2.4008	1214.0	1462.0	4736.0	1226.0	1762.0	1355.0
Cluster-2.7886	464.0	719.0	933.0	661.0	617.0	709.0
Cluster-2.52182	710.0	1941.0	1850.0	1609.0	2433.0	1816.0
Cluster-2.33487	550.0	465.0	1490.743	2844.0	3156.99	1501.99
Cluster-2.30916	1570.0	3355.0	3978.0	300.0	436.0	444.0
Cluster-2.50090	704.0	2057.0	2456.0	974.0	1195.0	680.0
Cluster-2.15516	658.0	267.405	512.0	425.0	532.0	337.0
Cluster-2.53241	488.0	757.0	1186.0	441.0	632.97	739.0
Cluster-8399.0	172.0	1269.0	378.0	600.946	305.208	737.0
Cluster-2.53723	1594.0	2687.0	2823.0	1510.0	1681.0	1731.0
Cluster-2.58153	324.168	509.012	697.004	2975.921	4146.285	2190.957
Cluster-2.55435	320.0	368.0	719.0	382.0	501.0	382.0
Cluster-7539.0	509.0	1255.0	1205.0	585.0	835.0	770.0
Cluster-2.42895	302.135	416.929	638.583	492.0	621.09	502.0
Cluster-2.6582	464.0	471.0	1477.0	1445.0	1835.0	1433.0
Cluster-11597.1	361.0	431.0	690.0	347.0	430.0	929.0
