id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-2.22915	23747.9247816934	-4.8324559709319	0.130710674373241	-36.9706299359527	3.3958646848948003e-299	5.95770500317944e-295
Cluster-5219.0	27384.618015542	-13.4596713253656	0.452176390256466	-29.7664177418275	1.06332183036055e-194	9.327459095922759e-191
Cluster-2.16040	3930.42959420546	-8.05485591414263	0.272271810969243	-29.583877543065	2.4091461315691597e-192	1.4088686577416501e-188
Cluster-2.34472	18374.9136956936	-3.72738411414087	0.130754893395591	-28.5066510120114	9.68908596178703e-179	4.2496331028397897e-175
Cluster-2.16067	1388.94739124724	6.48873001963342	0.233092723647508	27.8375485862267	1.5241650156040799e-170	5.34799020675161e-167
Cluster-2.59013	15189.2012750009	-10.5802147799624	0.396966098081618	-26.6526910763727	1.66565663185162e-156	4.87037999153415e-153
Cluster-2.53656	3827.30991878845	-4.65297965865511	0.17641162128477	-26.3756980677827	2.60420700752171e-153	6.526886819994401e-150
Cluster-2.39676	6870.3644627026	-6.64006699083699	0.260075800803763	-25.5312757677411	8.86409110475474e-144	1.94389517927271e-140
Cluster-2.48315	10740.5561899855	-6.25563191909167	0.26022190282701	-24.0396056255506	1.07226203054091e-127	2.09019611820108e-124
Cluster-2.38533	6456.65006892116	4.29431264001745	0.181924295998914	23.6049430145552	3.42898691817709e-123	6.01581464924989e-120
Cluster-2.47321	2888.96137451317	-9.92355546016387	0.422308450492321	-23.4983587200188	4.2394148321448897e-122	6.76148125592273e-119
Cluster-2.58739	1935.94755185221	-7.26414571464425	0.311749729440847	-23.3012093632709	4.30984633297962e-120	6.3009953388162e-117
Cluster-2.27111	3459.70486526874	3.27188667410571	0.142408294726821	22.9753939570874	8.215243973037151e-117	1.10867877125357e-113
Cluster-2.55409	1996.88980162728	3.59263601673123	0.15642002516439	22.9678777570554	9.76668228018375e-117	1.2239048137396001e-113
Cluster-2.24787	1560.44629755969	-6.96442273239401	0.304001967084664	-22.9091370663876	3.76733045993649e-116	4.40626970594171e-113
Cluster-2.13022	1169.21751994767	3.75466167571559	0.165964176960248	22.6233259760323	2.55476226257802e-113	2.8012968209168e-110
Cluster-2.23546	7297.72640775437	9.99168317735302	0.445896357231702	22.4080843346316	3.2825766133194604e-111	3.38761906494568e-108
Cluster-11570.0	7468.79866193341	-9.07107563444074	0.407314650411908	-22.2704379164054	7.14991207650775e-110	6.96878097056956e-107
Cluster-2.6613	2772.78824979743	-5.82080200592076	0.263043827174738	-22.1286394303184	1.67556874942955e-108	1.5471672705259e-105
Cluster-2.21447	7700.68266002706	-6.40492508789741	0.293177164461688	-21.8466028882492	8.37348212124099e-106	7.3452185167526e-103
Cluster-2.31170	7340.47998865761	-7.40465553870559	0.344369868484306	-21.5020424733909	1.48984724074318e-102	1.24466095198087e-99
Cluster-11076.1	764.036337848828	-5.80684318299521	0.272452385383423	-21.3132403844555	8.55638064204894e-101	6.823324635641211e-98
Cluster-2.29336	2965.76050932956	6.01804631773513	0.284474325257592	21.1549717616371	2.48338031015248e-99	1.89427931136153e-96
Cluster-2.50075	7514.80711461969	-5.9709316690522	0.286057345061101	-20.8731982315532	9.384058277372041e-97	6.85974660075896e-94
Cluster-2.59462	581.251290297994	-6.1006035549263	0.293290478973173	-20.80055096328	4.27865988168057e-96	3.00259235856816e-93
Cluster-2.23928	21470.4411813875	11.8265113233852	0.575524785848367	20.549091219333	7.841744958462409e-94	5.29136821351017e-91
Cluster-2.24546	38227.3732834296	13.8722299901104	0.676268920315565	20.5128900255201	1.65181987843821e-93	1.07331584990074e-90
Cluster-2.30541	613.40957301206	5.23217981787441	0.256445325122884	20.4027108521757	1.5819786014358198e-92	9.91222592271074e-90
Cluster-2.36646	14325.8566933758	11.1966294400492	0.549001662390183	20.3945273886832	1.87012817199983e-92	1.13136305688155e-89
Cluster-6781.0	420.060717336472	-6.87444401248189	0.342681091612165	-20.0607625595583	1.62571751316132e-89	9.5071960169674e-87
Cluster-8459.1	1644.67730101963	-3.15198362011435	0.157191852534453	-20.0518256467746	1.94572375631033e-89	1.1011541155067199e-86
Cluster-2.16182	6153.98012404846	-11.5855114668653	0.577980122279571	-20.0448268379398	2.239596695384e-89	1.2278588882442799e-86
Cluster-2.47656	6709.64703425535	-5.26861483601459	0.265480320434706	-19.8455946843351	1.20296863438694e-87	6.395418703540751e-85
Cluster-9175.0	1529.20842985539	-9.47436261003018	0.481455540386248	-19.6785825798772	3.29077708021356e-86	1.6980409733901998e-83
Cluster-2.51387	13504.5908715402	-6.2968961075266	0.3212499235795	-19.6012376823751	1.50908494288615e-85	7.56439606799844e-83
Cluster-2.13079	1299.12114261155	-9.72636304099018	0.499578832519533	-19.4691256071381	2.00667591327253e-84	9.779200617348149e-82
Cluster-2.40731	43624.6721337847	-3.61323741861355	0.186418160829335	-19.3824324976656	1.0859065024365799e-83	5.14895775101279e-81
Cluster-2.7482	1838.3517830231	-5.54118485482962	0.287355427378275	-19.2833833186495	7.40695987742837e-83	3.41967642341061e-80
Cluster-2.2527	768.59764874118	-6.96437307847462	0.363768847154	-19.1450508556778	1.06434639885148e-81	4.78792133883345e-79
Cluster-2.47785	31218.4872985263	-8.64355025094646	0.453432009705032	-19.0625056589395	5.17367653415006e-81	2.2691745278782197e-78
Cluster-2.51551	4234.80677520481	4.38616418402077	0.231837827649275	18.9191049126641	7.93913170730874e-80	3.3824390990722397e-77
Cluster-2.9575	3642.38107294441	2.80489530769544	0.148265453311272	18.9180638176499	8.09749442322356e-80	3.3824390990722397e-77
Cluster-2.49923	16340.1179573346	11.1091193626717	0.588274779059515	18.8842353235542	1.5374833538665998e-79	6.22852740582299e-77
Cluster-2.13734	8598.72462861394	-7.2474245378108	0.383798781232939	-18.8833964363532	1.5621021765629898e-79	6.22852740582299e-77
Cluster-2.36611	2318.70368290994	-3.95033771284718	0.209213914142981	-18.8818116090856	1.6096899699032e-79	6.275644629329279e-77
Cluster-5909.0	3328.7171090239	-8.38434094746985	0.44619422289718	-18.7907877718128	8.98358822127346e-79	3.42626242943525e-76
Cluster-2.34320	1284.4216282061	3.77888401625787	0.201370254004279	18.7658501745623	1.43680373270733e-78	5.36325206098243e-76
Cluster-2.59822	1000.67540369563	5.12529736493817	0.273902455858063	18.712126362219	3.94323621345636e-78	1.4412528360183001e-75
Cluster-2.24081	16597.6203051691	11.8000729509921	0.633619276224621	18.6232859285816	2.0804743063464598e-77	7.44894718990659e-75
Cluster-2.19515	883.380876423875	-8.11184699037194	0.436254147456948	-18.5943148911208	3.5724803670717096e-77	1.25351191119812e-74
Cluster-2.38310	731.572547113741	-3.28253719671311	0.176545291078188	-18.5931733249081	3.64934306906402e-77	1.25537401575802e-74
Cluster-2.37778	1662.86180143466	5.01509282807838	0.271965005035613	18.4402137599346	6.24936991285773e-76	2.10844126444569e-73
Cluster-2.30564	5000.55366192023	-9.84735211997812	0.537872106036719	-18.30798066949	7.14715186751131e-75	2.36584212006827e-72
Cluster-2.53872	661.027439917932	7.3399698997625	0.402790849795797	18.2227821299407	3.40399452135702e-74	1.10591999782755e-71
Cluster-2.42473	778.934600911541	-5.56934134685732	0.305734891655772	-18.2162438729037	3.83600012731007e-74	1.22361429515505e-71
Cluster-2.19354	8940.71631533556	-2.75684772725428	0.153336117533566	-17.9791152378095	2.83988094400495e-72	8.896941300289789e-70
Cluster-5621.0	495.68062578264	-7.72014899324715	0.42987658857	-17.9589891576289	4.08173410653111e-72	1.2563147923681e-69
Cluster-2.9912	522.664302384288	-4.46827949024429	0.248925808826445	-17.9502459440019	4.77783238437173e-72	1.4452119198520299e-69
Cluster-2.50387	2808.96001301988	4.75904421977237	0.265422520700227	17.9300694124118	6.86938718512653e-72	2.0426530300993198e-69
Cluster-2.9067	2312.30518646899	-9.71750504923081	0.542641499616178	-17.9077808389226	1.0254313098073e-71	2.99836114987654e-69
Cluster-2.41804	2085.13458389273	-6.25953321055022	0.349776883093731	-17.895788753063	1.27183255843618e-71	3.65787383691875e-69
Cluster-2.2384	820.519097517872	-6.44940379646175	0.36262106298904	-17.7855189748222	9.15121225526593e-71	2.58949786784493e-68
Cluster-2.20530	7199.74250305313	2.66964361231516	0.150182317935636	17.7760181691915	1.08411489934502e-70	3.01900187208081e-68
Cluster-2.26312	567.769582312076	4.82951695630439	0.271943186892283	17.7592864579371	1.46079811846559e-70	4.00441284224381e-68
Cluster-2.5893	1493.85025495238	5.01924167068319	0.28297897200839	17.7371542311433	2.1663198304307297e-70	5.84706386231951e-68
Cluster-2.3120	1536.31149004854	-7.82907794652719	0.441779443677702	-17.7216890884558	2.85218297162807e-70	7.58162091730952e-68
Cluster-2.33213	596.402671716162	6.02679701364623	0.342798605990276	17.5811596323037	3.43478980754762e-69	8.99402274382319e-67
Cluster-11285.0	566.166941532921	4.5982138167807	0.2621810398428	17.5383155835285	7.30610511315851e-69	1.88497511919489e-66
